NR_solar_pv,NER_solar_pv,ER_solar_pv,WR_solar_pv,SR_solar_pv,NR_onshore_wind,NER_onshore_wind,ER_onshore_wind,WR_onshore_wind,SR_onshore_wind
0,0,0,0,0,0.244582877,0.569944978,0.305529714,0.694188416,0.617810786
0,0,0,0,0,0.293396771,0.623258889,0.445487559,0.647399664,0.652051687
0,0,0,0,0,0.37860319,0.694188416,0.304045409,0.381773531,0.569944978
0,0,0,0,0,0.329338044,0.647399664,0.617810786,0.244582877,0.623258889
0,0,0,0,0,1.52E-05,0.381773531,0.652051687,0.293396771,0.694188416
0,0,0,0,0,4.55E-05,0.244582877,0.569944978,0.37860319,0.647399664
0,0,0,0,0,0.00057204,0.293396771,0.623258889,0.329338044,0.381773531
0,0.2003,0.2003,0,0,0.086801805,0.37860319,0.694188416,1.52E-05,0.244582877
0.2003,0.4221,0.4221,0,0.2003,0.341097623,0.329338044,0.647399664,4.55E-05,0.293396771
0.4221,0.5774,0.5774,0.2003,0.4221,0.326572925,1.52E-05,0.381773531,0.00057204,0.37860319
0.5774,0.6504,0.6504,0.4221,0.5774,0.38522929,4.55E-05,0.244582877,0.086801805,0.329338044
0.6504,0.6166,0.6166,0.5774,0.6504,0.25948137,0.00057204,0.293396771,0.341097623,1.52E-05
0.6166,0.6205,0.6205,0.6504,0.6166,0.818314612,0.086801805,0.37860319,0.326572925,4.55E-05
0.6205,0.513,0.513,0.6166,0.6205,0.947374165,0.341097623,0.329338044,0.38522929,0.00057204
0.513,0.3369,0.3369,0.6205,0.513,0.884191096,0.326572925,1.52E-05,0.25948137,0.086801805
0.3369,0.1068,0.1068,0.513,0.3369,0.863175511,0.38522929,4.55E-05,0.818314612,0.341097623
0.1068,0,0,0.3369,0.1068,0.935150564,0.25948137,0.00057204,0.947374165,0.326572925
0,0,0,0.1068,0,0.973402262,0.818314612,0.086801805,0.884191096,0.38522929
0,0,0,0,0,0.746089995,0.947374165,0.341097623,0.863175511,0.25948137
0,0,0,0,0,0.433065981,0.884191096,0.326572925,0.935150564,0.818314612
0,0,0,0,0,0.503579199,0.863175511,0.38522929,0.973402262,0.947374165
0,0,0,0,0,0.820716262,0.935150564,0.25948137,0.746089995,0.884191096
0,0,0,0,0,0.861984015,0.973402262,0.818314612,0.433065981,0.863175511
0,0,0,0,0,0.635637224,0.746089995,0.947374165,0.503579199,0.935150564
0,0,0,0,0,0.684829473,0.433065981,0.884191096,0.820716262,0.973402262
0,0,0,0,0,0.745589137,0.503579199,0.863175511,0.861984015,0.746089995
0,0,0,0,0,0.27747938,0.820716262,0.935150564,0.635637224,0.433065981
0,0,0,0,0,0.655076563,0.861984015,0.973402262,0.684829473,0.503579199
0,0,0,0,0,0.843971074,0.635637224,0.746089995,0.745589137,0.820716262
0,0,0,0,0,0.989659667,0.684829473,0.433065981,0.27747938,0.861984015
0,0,0,0,0,0.995543838,0.745589137,0.503579199,0.655076563,0.635637224
0,0.1615,0.1615,0,0,1,0.27747938,0.820716262,0.843971074,0.684829473
0.1615,0.4263,0.4263,0,0.1615,1,0.655076563,0.861984015,0.989659667,0.745589137
0.4263,0.57,0.57,0.1615,0.4263,0.998463929,0.843971074,0.635637224,0.995543838,0.27747938
0.57,0.6482,0.6482,0.4263,0.57,0.957467973,0.989659667,0.684829473,1,0.655076563
0.6482,0.6314,0.6314,0.57,0.6482,0.884891868,0.995543838,0.745589137,1,0.843971074
0.6314,0.5409,0.5409,0.6482,0.6314,0.697858751,1,0.27747938,0.998463929,0.989659667
0.5409,0.4277,0.4277,0.6314,0.5409,0.532083452,1,0.655076563,0.957467973,0.995543838
0.4277,0.3402,0.3402,0.5409,0.4277,0.179168805,0.998463929,0.843971074,0.884891868,1
0.3402,0.1301,0.1301,0.4277,0.3402,0.460624933,0.957467973,0.989659667,0.697858751,1
0.1301,0,0,0.3402,0.1301,0.575961411,0.884891868,0.995543838,0.532083452,0.998463929
0,0,0,0.1301,0,0.526084423,0.697858751,1,0.179168805,0.957467973
0,0,0,0,0,0.570720732,0.532083452,1,0.460624933,0.884891868
0,0,0,0,0,0.616125405,0.179168805,0.998463929,0.575961411,0.697858751
0,0,0,0,0,0.687053382,0.460624933,0.957467973,0.526084423,0.532083452
0,0,0,0,0,0.553053379,0.575961411,0.884891868,0.570720732,0.179168805
0,0,0,0,0,0.677880645,0.526084423,0.697858751,0.616125405,0.460624933
0,0,0,0,0,0.80630821,0.570720732,0.532083452,0.687053382,0.575961411
0,0,0,0,0,0.801423192,0.616125405,0.179168805,0.553053379,0.526084423
0,0,0,0,0,0.736126423,0.687053382,0.460624933,0.677880645,0.570720732
0,0,0,0,0,0.630956411,0.553053379,0.575961411,0.80630821,0.616125405
0,0,0,0,0,0.731341124,0.677880645,0.526084423,0.801423192,0.687053382
0,0,0,0,0,0.992636561,0.80630821,0.570720732,0.736126423,0.553053379
0,0,0,0,0,1,0.801423192,0.616125405,0.630956411,0.677880645
0,0,0,0,0,1,0.736126423,0.687053382,0.731341124,0.80630821
0,0.1899,0.1899,0,0,1,0.630956411,0.553053379,0.992636561,0.801423192
0.1899,0.4305,0.4305,0,0.1899,1,0.731341124,0.677880645,1,0.736126423
0.4305,0.5707,0.5707,0.1899,0.4305,1,0.992636561,0.80630821,1,0.630956411
0.5707,0.6554,0.6554,0.4305,0.5707,0.999652565,1,0.801423192,1,0.731341124
0.6554,0.6621,0.6621,0.5707,0.6554,0.945950031,1,0.736126423,1,0.992636561
0.6621,0.6529,0.6529,0.6554,0.6621,0.987837434,1,0.630956411,1,1
0.6529,0.5731,0.5731,0.6621,0.6529,1,1,0.731341124,0.999652565,1
0.5731,0.4127,0.4127,0.6529,0.5731,0.958051622,1,0.992636561,0.945950031,1
0.4127,0.1725,0.1725,0.5731,0.4127,1,0.999652565,1,0.987837434,1
0.1725,0,0,0.4127,0.1725,0.996488094,0.945950031,1,1,1
0,0,0,0.1725,0,0.997731447,0.987837434,1,0.958051622,0.999652565
0,0,0,0,0,0.997055888,1,1,1,0.945950031
0,0,0,0,0,1,0.958051622,1,0.996488094,0.987837434
0,0,0,0,0,0.999057055,1,0.999652565,0.997731447,1
0,0,0,0,0,0.964799762,0.996488094,0.945950031,0.997055888,0.958051622
0,0,0,0,0,0.929325104,0.997731447,0.987837434,1,1
0,0,0,0,0,0.906229854,0.997055888,1,0.999057055,0.996488094
0,0,0,0,0,0.809327066,1,0.958051622,0.964799762,0.997731447
0,0,0,0,0,0.651830137,0.999057055,1,0.929325104,0.997055888
0,0,0,0,0,0.48080951,0.964799762,0.996488094,0.906229854,1
0,0,0,0,0,0.378751755,0.929325104,0.997731447,0.809327066,0.999057055
0,0,0,0,0,0.383687705,0.906229854,0.997055888,0.651830137,0.964799762
0,0,0,0,0,0.43698281,0.809327066,1,0.48080951,0.929325104
0,0,0,0,0,0.027345492,0.651830137,0.999057055,0.378751755,0.906229854
0,0.2204,0.2204,0,0,0.000123209,0.48080951,0.964799762,0.383687705,0.809327066
0.2204,0.4435,0.4435,0,0.2204,5.38E-05,0.378751755,0.929325104,0.43698281,0.651830137
0.4435,0.5641,0.5641,0.2204,0.4435,6.64E-05,0.383687705,0.906229854,0.027345492,0.48080951
0.5641,0.6709,0.6709,0.4435,0.5641,0.002060085,0.43698281,0.809327066,0.000123209,0.378751755
0.6709,0.6513,0.6513,0.5641,0.6709,5.04E-05,0.027345492,0.651830137,5.38E-05,0.383687705
0.6513,0.6024,0.6024,0.6709,0.6513,0.097491965,0.000123209,0.48080951,6.64E-05,0.43698281
0.6024,0.4635,0.4635,0.6513,0.6024,0.291266352,5.38E-05,0.378751755,0.002060085,0.027345492
0.4635,0.305,0.305,0.6024,0.4635,0.210415676,6.64E-05,0.383687705,5.04E-05,0.000123209
0.305,0.0783,0.0783,0.4635,0.305,0.223368809,0.002060085,0.43698281,0.097491965,5.38E-05
0.0783,0,0,0.305,0.0783,0.409326077,5.04E-05,0.027345492,0.291266352,6.64E-05
0,0,0,0.0783,0,0.685454428,0.097491965,0.000123209,0.210415676,0.002060085
0,0,0,0,0,0.560226202,0.291266352,5.38E-05,0.223368809,5.04E-05
0,0,0,0,0,0.414616615,0.210415676,6.64E-05,0.409326077,0.097491965
0,0,0,0,0,0.492882252,0.223368809,0.002060085,0.685454428,0.291266352
0,0,0,0,0,0.543901205,0.409326077,5.04E-05,0.560226202,0.210415676
0,0,0,0,0,0.584094465,0.685454428,0.097491965,0.414616615,0.223368809
0,0,0,0,0,0.575396657,0.560226202,0.291266352,0.492882252,0.409326077
0,0,0,0,0,0.222339511,0.414616615,0.210415676,0.543901205,0.685454428
0,0,0,0,0,0.063489825,0.492882252,0.223368809,0.584094465,0.560226202
0,0,0,0,0,0.034827486,0.543901205,0.409326077,0.575396657,0.414616615
0,0,0,0,0,0.0359466,0.584094465,0.685454428,0.222339511,0.492882252
0,0,0,0,0,0.168909371,0.575396657,0.560226202,0.063489825,0.543901205
0,0,0,0,0,0.119043224,0.222339511,0.414616615,0.034827486,0.584094465
0,0,0,0,0,0.057592459,0.063489825,0.492882252,0.0359466,0.575396657
0,0.1154,0.1154,0,0,0.084502511,0.034827486,0.543901205,0.168909371,0.222339511
0.1154,0.2997,0.2997,0,0.1154,0.249637455,0.0359466,0.584094465,0.119043224,0.063489825
0.2997,0.4896,0.4896,0.1154,0.2997,0.350143909,0.168909371,0.575396657,0.057592459,0.034827486
0.4896,0.5795,0.5795,0.2997,0.4896,0.742475271,0.119043224,0.222339511,0.084502511,0.0359466
0.5795,0.5517,0.5517,0.4896,0.5795,0.870121062,0.057592459,0.063489825,0.249637455,0.168909371
0.5517,0.4408,0.4408,0.5795,0.5517,0.958805382,0.084502511,0.034827486,0.350143909,0.119043224
0.4408,0.4072,0.4072,0.5517,0.4408,0.799080312,0.249637455,0.0359466,0.742475271,0.057592459
0.4072,0.3063,0.3063,0.4408,0.4072,0.399789095,0.350143909,0.168909371,0.870121062,0.084502511
0.3063,0.1054,0.1054,0.4072,0.3063,0.343781441,0.742475271,0.119043224,0.958805382,0.249637455
0.1054,0,0,0.3063,0.1054,0.002315517,0.870121062,0.057592459,0.799080312,0.350143909
0,0,0,0.1054,0,0.094827555,0.958805382,0.084502511,0.399789095,0.742475271
0,0,0,0,0,0.031066958,0.799080312,0.249637455,0.343781441,0.870121062
0,0,0,0,0,0.097598262,0.399789095,0.350143909,0.002315517,0.958805382
0,0,0,0,0,0.058144085,0.343781441,0.742475271,0.094827555,0.799080312
